m,n,minexhaustiveSolvercmax,openexhaustiveSolvercmax,meanexhaustiveSolvercmax,closedexhaustiveSolvercmax,maxexhaustiveSolvercmax,mingiftSolvercmax,opengiftSolvercmax,meangiftSolvercmax,closedgiftSolvercmax,maxgiftSolvercmax,minswapSolvercmax,openswapSolvercmax,meanswapSolvercmax,closedswapSolvercmax,maswapSolvercmax,minectSolvercmax,openectSolvercmax,meanectSolvercmax,closedectSolvercmax,maxectSolvercmax
2,5,112.0,142.0,163.0,188.0,259.0,112.0,147.0,163.0,197.0,271.0,112.0,146.0,163.0,190.0,259.0,141.0,158.0,175.0,199.0,277.0
3,5,59.0,88.0,111.0,138.0,163.0,64.0,91.0,120.0,144.0,185.0,64.0,91.0,112.0,138.0,163.0,74.0,102.0,120.0,149.0,190.0
4,5,46.0,74.0,91.0,100.0,142.0,46.0,77.0,94.0,103.0,142.0,46.0,74.0,91.0,100.0,142.0,46.0,83.0,100.0,118.0,157.0
5,5,48.0,75.0,92.0,97.0,103.0,50.0,81.0,96.0,100.0,107.0,48.0,75.0,92.0,97.0,103.0,50.0,81.0,96.0,100.0,107.0
6,5,44.0,77.0,85.0,97.0,101.0,44.0,77.0,89.0,97.0,101.0,44.0,77.0,85.0,97.0,101.0,44.0,77.0,89.0,97.0,101.0
7,5,32.0,75.0,87.0,99.0,106.0,32.0,75.0,88.0,99.0,108.0,32.0,75.0,87.0,99.0,106.0,32.0,75.0,88.0,99.0,108.0
8,5,25.0,78.0,85.0,97.0,102.0,25.0,78.0,85.0,97.0,102.0,25.0,78.0,85.0,97.0,102.0,25.0,78.0,85.0,97.0,102.0
9,5,65.0,75.0,92.0,99.0,103.0,66.0,75.0,92.0,99.0,108.0,65.0,75.0,92.0,99.0,103.0,66.0,75.0,92.0,99.0,108.0
10,5,68.0,87.0,94.0,98.0,103.0,68.0,87.0,94.0,101.0,105.0,68.0,87.0,94.0,98.0,103.0,68.0,87.0,94.0,101.0,105.0
11,5,70.0,84.0,93.0,102.0,103.0,73.0,84.0,93.0,102.0,103.0,70.0,84.0,93.0,102.0,103.0,73.0,84.0,93.0,102.0,103.0
12,5,68.0,80.0,90.0,96.0,100.0,68.0,80.0,90.0,96.0,103.0,68.0,80.0,90.0,96.0,100.0,68.0,80.0,90.0,96.0,103.0
